-100.0	-Infinity
-99.0	-Infinity
-98.0	-Infinity
-97.0	-Infinity
-96.0	-Infinity
-95.0	-Infinity
-94.0	-Infinity
-93.0	-Infinity
-92.0	-Infinity
-91.0	-Infinity
-90.0	-Infinity
-89.0	-Infinity
-88.0	-Infinity
-87.0	-Infinity
-86.0	-Infinity
-85.0	-Infinity
-84.0	-Infinity
-83.0	-Infinity
-82.0	-Infinity
-81.0	-Infinity
-80.0	-Infinity
-79.0	-Infinity
-78.0	-Infinity
-77.0	-Infinity
-76.0	-Infinity
-75.0	-Infinity
-74.0	-Infinity
-73.0	-Infinity
-72.0	-Infinity
-71.0	-Infinity
-70.0	-Infinity
-69.0	-Infinity
-68.0	-Infinity
-67.0	-Infinity
-66.0	-Infinity
-65.0	-Infinity
-64.0	-Infinity
-63.0	-Infinity
-62.0	-Infinity
-61.0	-Infinity
-60.0	-Infinity
-59.0	-Infinity
-58.0	-Infinity
-57.0	-Infinity
-56.0	-Infinity
-55.0	-Infinity
-54.0	-Infinity
-53.0	-Infinity
-52.0	-Infinity
-51.0	-Infinity
-50.0	-Infinity
-49.0	-Infinity
-48.0	-Infinity
-47.0	-Infinity
-46.0	-Infinity
-45.0	-Infinity
-44.0	-Infinity
-43.0	-Infinity
-42.0	-Infinity
-41.0	-Infinity
-40.0	-Infinity
-39.0	-Infinity
-38.0	-Infinity
-37.0	-Infinity
-36.0	-Infinity
-35.0	-Infinity
-34.0	-Infinity
-33.0	-Infinity
-32.0	-Infinity
-31.0	-Infinity
-30.0	-Infinity
-29.0	-Infinity
-28.0	-Infinity
-27.0	-Infinity
-26.0	-Infinity
-25.0	-Infinity
-24.0	-Infinity
-23.0	-Infinity
-22.0	-Infinity
-21.0	-Infinity
-20.0	-Infinity
-19.0	-Infinity
-18.0	-Infinity
-17.0	-Infinity
-16.0	-Infinity
-15.0	-Infinity
-14.0	-Infinity
-13.0	-Infinity
-12.0	-Infinity
-11.0	-Infinity
-10.0	-Infinity
-9.0	-Infinity
-8.0	-Infinity
-7.0	-Infinity
-6.0	-Infinity
-5.0	-Infinity
-4.0	-Infinity
-3.0	-Infinity
-2.0	-Infinity
-1.0	-Infinity
0.0	-Infinity
1.0	38.55
2.0	39.6
3.0	40.65
4.0	41.7
5.0	42.75
6.0	43.8
7.0	44.85
8.0	45.9
9.0	46.95
10.0	48.0
11.0	49.05
12.0	50.1
13.0	51.15
14.0	52.2
15.0	53.25
16.0	54.3
17.0	55.35
18.0	56.400000000000006
19.0	57.45
20.0	58.5
21.0	59.55
22.0	60.6
23.0	61.650000000000006
24.0	62.7
25.0	63.75
26.0	64.8
27.0	65.85
28.0	66.9
29.0	67.95
30.0	69.0
31.0	70.05000000000001
32.0	71.1
33.0	72.15
34.0	73.2
35.0	74.25
36.0	75.30000000000001
37.0	76.35
38.0	77.4
39.0	78.45
40.0	79.5
41.0	80.55000000000001
42.0	81.6
43.0	82.65
44.0	83.7
